"txt","val"
"In the first place, there was no cease-fire agreement signed in Windhoek.",0
"He also accused the AUC of not standing by its promise to observe a cease-fire.",0
"What is expected it is not a cease-fire; it is the end of all military activities by the M23.",0
"However, who will lead the transitional government and when a cease-fire will take hold remained unresolved.",0
"The radio said parliament should endorse a draft peace agreement approved recently by the government before the two sides start talks on a ceasefire.",0
"""Anything that can help humanitarian access is to be welcomed,"" said OLS spokeswoman Gillian Wilcox commenting on the ceasefire.",0
"21 July 1998 14:13 Reuters News LBA English (c) 1998 Reuters Limited KAMAPALA, July 21 (Reuters) - Uganda's President Yoweri Museveni on Tuesday reiterated his hardline stance against rebels fighting his government and rejected calls for a ceasefire.",0
"Mr Sadio';s ceasefire is the clearest sign so far that this policy is working.",0
"It said that the main concern remains the search for a cease-fire with a view to stopping violence, and invited the parties to ""address exhaustively the issue of transitional institutions by looking into ways of agreeing to set them up"".",0
"Concerned by the slow pace of progress toward the self-determination referendum, despite the encouraging developments, such as the release of war prisoners by the Frente POLISARIO and the maintenance of the ceasefire, Timor-Leste looked to the leaders of the region for a vision that would unite the peoples and countries of the Maghreb in order to erase the remaining traces of colonialism there.",0
"""If we cannot get a cease-fire agreement in the next set of meetings, I believe the process will lose credibility and go into permanent crisis,"" Restrepo said.",0
"Burundi's leader, Pierre Buyoya, recently announced that his government had provisionally agreed on a cease-fire with the Hutu rebel group, the National Council for the Defence of Democracy after talks in Rome.",1
"And he said that he was hopeful that the current 48-hour cessation of aerial bombardment pledged by Israel would actually open the way possibly for a longer-term cease-fire.",0
"French troops initially deployed to protect French citizens, but eventually were called upon to enforce a cease-fire and support a U.N. peacekeeping force.",0
"Maintaining international peace and security is one of the three principal pillars of the UN edifice, together with promoting development and ensuring the observance of human rights, and the UN Truce Supervision Organization (UNTSO), no geographical marker in its name, was the world body's very first peacekeeping effort.",0
"West African leaders had given Taylor until midnight Tuesday to observe a cease-fire.",0
"The representative of the Organization of American States told Colombian media the incident constitutes a new violation of the cease-fire and said he would present a report on the killings at his next meeting with negotiators from the government and the AUC.",0
"Mr Annan urged leaders of ECOWAS (Economic Community of West African States) to press for the ceasefire agreement to be strictly observed.",0
"The truce marks the culmination of tortuous peace talks which have dragged on haltingly for two weeks.",0
"But many civilians who fled parts of the captial Bangui where the dissidents held sway have yet to be convinced that a cease-fire deal signed on Wednesday will bring lasting peace following three army mutinies in under a year and ethnic bloodshed"".",1
"Colombian President Andres Pastrana Arango celebrated Monday rebel FARC's decision of declaring a ceasefire during Christmas and New Year"".",1
"He urged the Council to immediately deploy MONUC observers, who would be able to identify and verify parties that break the ceasefire, thereby enabling the Council to impose costs on those bent on pursuing the military option.",0
"The truce has held in the Beira corridor.",1
"Deployment of the international stabilization force, as well as the return of humanitarian agencies and refugees would depend on the success of the ceasefire, he stressed.",0
"Dia Wamba said the RCD would carry no fixed agenda to the talks but was prepared to discuss the details of a ceasefire deal agreed at an earlier summit but yet to be implemented.",0
"With the failure of the cease-fire, the government has a lot of lose.",0
"The rebel leader, Mustafa Abdul-Jalil, also distanced himself from earlier comments attributed to him that Libya's opposition might consider allowing Libyan leader Moammar Gadhafi to stay in the country as part of a transition deal, provided he resigns and orders a cease-fire.",0
"With the deadline now expired, no ceasefire negotiations have begun, according to a rebel source.",0
"No-one has mentioned anything about a cease-fire.",0
"""We are hoping that they will sign today but before that we still have to come to an agreement on an unconditional ceasefire,"" he told AFP on condition of anonymity.",0
"Although Kabila and the rebels have accused each other of violating the ceasefire deal that went into effect on September 1, there has been a substantial reduction in fighting.",1
"""The sooner President Taylor steps aside, the sooner an effective cease-fire can be established and the serious work can begin on creation of a transitional government and preparations for elections,"" said Andrew Mitchell, a spokesman for the State Department's bureau of African affairs.",0
"Saudi-led alliance resumes air strikes on Yemen A Saudi Arabian-led coalition resumed air strikes against Yemen's Houthi militia in Aden overnight, hours after the expiry of a truce meant to facilitate badly needed humanitarian aid, a Reuters eyewitness said.",0
"""The meeting decided to request President Frederick Chiluba to continue with his efforts in consulation with the OAU for the eventual finalisation of the ceasefire agreement and establishment of an implementation and monitoring mechanism of the ceasefire,"" the communique said.",0
"Those talks ended on Tuesday in Dar es Salaam with the issuance of a joint communiqué in which the two sides agreed to respect the May 15 truce and committed themselves to a peaceful resolution of the conflict.",1
"""We're not threatening to break the truce,"" Villalobos told reporters.",0
"In addition to the unresolved leadership issue, Mandela has failed to get the government and rebels to agree to a cease-fire or even a temporary halt to hostilities.",0
"Despite the presence of the peacekeepers, sporadic clashes have continued between the previously warring factions, with all sides routinely complaining of ceasefire violations.",0
"Martin, do people there think the cease-fire will actually last the three days that it's supposed to?",1
"An ethnic Chinese rebel group that has been battling the Myanmar military on the border with China has announced a unilateral ceasefire, the group said on Thursday, after coming under pressure from Beijing to end four months of intense fighting.",1
"Before her appearance, Ukraine and pro-Moscow rebels signed a ceasefire agreement in Minsk, raising hopes for an end to the five-month war.",1
"It's appropriately called Ceasefire and was developed in Boston with the help of Harvard researchers.",0
"JEM, which accuses the government of marginalising Darfur, has not signed a truce with Khartoum.",0
"However, both sides have accused the other of violating the cease-fire and have yet to agree on the allocation of positions in an interim administration and how wealth and resources should be shared.",0
"This process is unlikely to be completed in at least the 12-month outlook.Tuareg insurgencyIHS assesses that the president's statement is aimed at appeasing domestic critics and other armed tribal groups such as the Gando Iso, as well as putting pressure on Tuareg leaders to return to the negotiating table and uphold the July 2013 ceasefire agreement.",0
"He pointed out that the politicians talked about the need for a ceasefire, disarmament of all ""belligerent"" forces and the deployment of an international stabilization force.",0
"But while the largest rebel group says it is prepared to call a halt to the conflict, it has warned that the truce may be short-lived unless President Laurent Kabila agrees to major political reforms.",0
"The second is to make sure that noboby would take advantage of the crisis and would respect the terms of the ceasefire,"" Ajello said.",0
"The Uribe administration and the AUC have been holding peace talks since December 2002, when the militias called a unilateral truce.",1
"Liberia's main rebel group declared an immediate ceasefire starting at 10:00 am Friday to avoid a ""grotesque catastrophe"" in the war-ravaged capital Monrovia, a statement said.",1
"MPCI rebels signed a ceasefire a month later but the emergence of two new rebel factions in the west has rocked the truce and forced French troops to fight them to secure an airport a fortnight ago near the town of Man.",1
"Mexico's left-wing Popular Revolutionary Army guerrillas declared a unilateral Christmas truce yesterday until January 7th"".",1
"Djibouti's last remaining rebels signed a ceasefire on Monday to end a decade-old uprising by ethnic Afars in the Horn of Africa nation.",1
"The Ugandan Government has extended its cease-fire while the rebel Lord's Resistance Army said it hopes for a permanent end to the fighting.",1
"From Jane Bussey in Mexico City Salvadorean peace talks have passed a big hurdle with agreement on partial reforms of the armed forces and the justice and electoral systems, the keys to a ceasefire in the civil war.",0
"[Bisimwa] How can we raise the issue of cease-fire at a structure which involves only member states?",0
"[End of recording] For Mr Edmond Borra, the 1993 cease-fire is still in force, unless the Dakar government continues its provocations, in which case the MFDC will respond to them.",0
"President Buyoya has had direct cease-fire talks with Col Jean-Bosco Ndayikengurukiye of CNDD-FDD, [National Council for the Defence of Democracy - Forces for the Defence of Democracy] one out of two leaders of armed rebel groups which are against the Bujumbura government.",0
"""Whether we should be getting into this is a decision for the U.N. Secretary-General to make because there are still breaches of the ceasefire which must be verified,"" Greenstock said.",0
"Top rebel commanders, army generals, government officials and politicians who have been bitter enemies through 12 years of bloody civil war came together Saturday to celebrate the arrival of peace, as the UNs mediated truce came into effect""",1
"The meeting was preceded by the signing of a ceasefire and peace agreement between the government and the Movement of the Central African Liberators for Justice , one of numerous rebel groups seeking to topple President François Bozizé’s regime""",1
